iter	Passed	Remaining
250	2867	8557
251	2879	8545
252	2889	8530
253	2900	8519
254	2912	8508
255	2922	8494
256	2935	8485
257	2946	8475
258	2960	8469
259	2972	8459
260	2984	8450
261	2996	8439
262	3007	8428
263	3017	8412
264	3027	8397
265	3037	8381
266	3047	8365
267	3056	8349
268	3066	8333
269	3076	8317
270	3085	8300
271	3095	8285
272	3105	8269
273	3114	8253
274	3124	8238
275	3136	8227
276	3146	8211
277	3158	8202
278	3168	8189
279	3178	8172
280	3188	8158
281	3197	8141
282	3207	8125
283	3217	8110
284	3226	8094
285	3236	8080
286	3246	8065
287	3255	8049
288	3265	8034
289	3275	8018
290	3285	8004
291	3295	7989
292	3305	7974
293	3316	7963
294	3326	7950
295	3338	7940
296	3349	7929
297	3361	7917
298	3372	7906
299	3382	7893
300	3393	7881
301	3403	7865
302	3413	7851
303	3422	7836
304	3432	7820
305	3442	7806
306	3451	7790
307	3460	7775
308	3470	7760
309	3479	7745
310	3489	7730
311	3500	7719
312	3512	7708
313	3523	7698
314	3533	7684
315	3546	7676
316	3557	7664
317	3567	7651
318	3578	7640
319	3589	7628
320	3599	7613
321	3610	7601
322	3621	7589
323	3630	7575
324	3642	7564
325	3653	7553
326	3663	7540
327	3674	7528
328	3687	7520
329	3698	7509
330	3711	7500
331	3723	7491
332	3734	7480
333	3744	7466
334	3755	7454
335	3766	7443
336	3776	7428
337	3787	7418
338	3798	7407
339	3808	7392
340	3819	7381
341	3831	7372
342	3841	7358
343	3852	7346
344	3863	7335
345	3874	7324
346	3887	7315
347	3897	7302
348	3907	7288
349	3917	7274
350	3926	7260
351	3937	7248
352	3947	7235
353	3957	7222
354	3967	7209
355	3979	7198
356	3990	7186
357	4001	7175
358	4012	7164
359	4023	7152
360	4034	7141
361	4045	7130
362	4056	7118
363	4066	7105
364	4077	7093
365	4087	7080
366	4096	7065
367	4106	7051
368	4116	7039
369	4127	7027
370	4136	7012
371	4146	6999
372	4155	6985
373	4165	6972
374	4175	6958
375	4184	6945
376	4194	6932
377	4204	6918
378	4213	6903
379	4222	6889
380	4233	6877
381	4244	6867
382	4255	6855
383	4266	6844
384	4276	6831
385	4286	6818
386	4296	6805
387	4306	6793
388	4316	6779
389	4326	6766
390	4337	6755
391	4347	6743
392	4357	6730
393	4367	6718
394	4377	6704
395	4386	6690
396	4395	6676
397	4406	6665
398	4416	6651
399	4426	6639
400	4436	6627
401	4448	6616
402	4458	6604
403	4469	6594
404	4479	6580
405	4489	6568
406	4500	6556
407	4510	6545
408	4521	6533
409	4532	6522
410	4544	6512
411	4554	6499
412	4563	6486
413	4574	6475
414	4583	6461
415	4593	6448
416	4603	6435
417	4613	6423
418	4622	6409
419	4631	6396
420	4643	6385
421	4654	6375
422	4665	6364
423	4676	6353
424	4686	6340
425	4696	6328
426	4707	6316
427	4717	6304
428	4726	6291
429	4736	6279
430	4746	6265
431	4756	6254
432	4766	6242
433	4777	6230
434	4787	6217
435	4797	6205
436	4807	6193
437	4817	6180
438	4829	6171
439	4838	6158
440	4849	6147
441	4859	6134
442	4869	6123
443	4879	6110
444	4888	6097
445	4898	6085
446	4908	6072
447	4918	6060
448	4928	6047
449	4937	6034
450	4946	6021
451	4957	6010
452	4967	5998
453	4978	5987
454	4988	5974
455	4998	5963
456	5008	5950
457	5020	5941
458	5031	5930
459	5043	5920
460	5055	5910
461	5066	5899
462	5077	5888
463	5088	5878
464	5099	5867
465	5110	5855
466	5120	5844
467	5130	5832
468	5140	5819
469	5150	5808
470	5160	5796
471	5170	5784
472	5180	5772
473	5190	5759
474	5201	5748
475	5211	5736
476	5221	5725
477	5232	5713
478	5242	5702
479	5252	5690
480	5262	5678
481	5272	5665
482	5281	5653
483	5291	5641
484	5301	5629
485	5311	5617
486	5320	5604
487	5331	5593
488	5340	5581
489	5351	5569
490	5361	5558
491	5372	5547
492	5383	5536
493	5394	5525
494	5432	5542
495	5445	5532
496	5455	5521
497	5466	5510
498	5476	5498
499	5486	5486
500	5497	5475
501	5507	5463
502	5517	5451
503	5526	5439
504	5537	5427
505	5547	5416
506	5557	5404
507	5569	5394
508	5580	5382
509	5590	5371
510	5600	5359
511	5610	5347
512	5621	5336
513	5631	5324
514	5641	5312
515	5650	5300
516	5661	5289
517	5671	5277
518	5681	5265
519	5690	5252
520	5699	5240
521	5708	5227
522	5719	5216
523	5729	5204
524	5739	5192
525	5750	5182
526	5762	5171
527	5773	5161
528	5783	5149
529	5793	5137
530	5803	5126
531	5814	5115
532	5824	5102
533	5836	5092
534	5845	5080
535	5857	5070
536	5866	5058
537	5876	5046
538	5886	5034
539	5896	5022
540	5906	5010
541	5916	4999
542	5926	4988
543	5937	4977
544	5948	4965
545	5958	4954
546	5968	4942
547	5977	4930
548	5987	4918
549	5997	4906
550	6006	4894
551	6016	4882
552	6026	4871
553	6036	4859
554	6046	4847
555	6055	4835
556	6065	4823
557	6074	4812
558	6084	4799
559	6093	4787
560	6103	4776
561	6114	4765
562	6125	4754
563	6137	4744
564	6148	4733
565	6160	4723
566	6171	4712
567	6181	4701
568	6190	4689
569	6200	4677
570	6210	4666
571	6220	4654
572	6230	4643
573	6240	4631
574	6250	4619
575	6259	4607
576	6270	4596
577	6279	4585
578	6289	4573
579	6299	4561
580	6308	4549
581	6318	4538
582	6331	4528
583	6342	4517
584	6354	4508
585	6365	4496
586	6375	4485
587	6385	4474
588	6395	4462
589	6406	4451
590	6416	4440
591	6428	4430
592	6437	4418
593	6446	4406
594	6457	4395
595	6467	4384
596	6477	4372
597	6488	4361
598	6499	4350
599	6509	4339
600	6520	4328
601	6530	4317
602	6540	4306
603	6550	4294
604	6560	4283
605	6570	4271
606	6580	4260
607	6589	4248
608	6599	4237
609	6610	4226
610	6619	4214
611	6629	4203
612	6638	4191
613	6648	4179
614	6658	4168
615	6668	4156
616	6678	4145
617	6687	4133
618	6697	4122
619	6708	4111
620	6720	4101
621	6731	4090
622	6741	4079
623	6751	4068
624	6761	4056
625	6771	4045
626	6781	4034
627	6790	4022
628	6800	4011
629	6810	3999
630	6819	3988
631	6830	3977
632	6840	3966
633	6851	3955
634	6860	3943
635	6870	3932
636	6879	3920
637	6890	3909
638	6901	3898
639	6911	3887
640	6922	3877
641	6932	3865
642	6942	3854
643	6951	3842
644	6960	3831
645	6971	3820
646	6980	3808
647	6990	3797
648	7000	3786
649	7011	3775
650	7021	3764
651	7031	3753
652	7041	3741
653	7052	3730
654	7061	3719
655	7070	3707
656	7080	3696
657	7091	3686
658	7101	3674
659	7113	3664
660	7122	3653
661	7133	3642
662	7144	3631
663	7154	3620
664	7163	3608
665	7172	3597
666	7184	3586
667	7194	3575
668	7204	3564
669	7214	3553
670	7225	3542
671	7235	3531
672	7245	3520
673	7256	3509
674	7265	3498
675	7274	3486
676	7284	3475
677	7295	3464
678	7306	3454
679	7316	3443
680	7326	3432
681	7337	3421
682	7346	3409
683	7355	3398
684	7365	3387
685	7375	3375
686	7385	3364
687	7394	3353
688	7404	3342
689	7414	3331
690	7424	3319
691	7433	3308
692	7443	3297
693	7453	3286
694	7463	3275
695	7472	3263
696	7483	3253
697	7495	3243
698	7505	3232
699	7515	3220
700	7525	3209
701	7534	3198
702	7544	3187
703	7553	3176
704	7564	3165
705	7574	3154
706	7585	3143
707	7595	3132
708	7606	3122
709	7616	3111
710	7626	3099
711	7636	3089
712	7645	3077
713	7654	3066
714	7666	3055
715	7676	3044
716	7687	3034
717	7696	3022
718	7706	3011
719	7715	3000
720	7725	2989
721	7734	2978
722	7744	2967
723	7755	2956
724	7765	2945
725	7774	2934
726	7784	2923
727	7793	2912
728	7804	2901
729	7813	2890
730	7823	2878
731	7833	2867
732	7844	2857
733	7854	2846
734	7863	2835
735	7875	2824
736	7885	2813
737	7897	2803
738	7906	2792
739	7915	2781
740	7925	2770
741	7934	2758
742	7944	2748
743	7955	2737
744	7965	2726
745	7975	2715
746	7984	2704
747	7993	2693
748	8003	2681
749	8013	2671
750	8023	2660
751	8033	2649
752	8043	2638
753	8055	2628
754	8065	2617
755	8077	2606
756	8086	2595
757	8096	2584
758	8105	2573
759	8115	2562
760	8124	2551
761	8133	2540
762	8143	2529
763	8153	2518
764	8162	2507
765	8171	2496
766	8181	2485
767	8191	2474
768	8200	2463
769	8211	2452
770	8220	2441
771	8229	2430
772	8243	2420
773	8254	2410
774	8266	2399
775	8276	2389
776	8287	2378
777	8298	2367
778	8308	2356
779	8318	2346
780	8328	2335
781	8339	2324
782	8350	2314
783	8360	2303
784	8371	2292
785	8380	2281
786	8390	2270
787	8399	2259
788	8409	2248
789	8418	2237
790	8427	2226
791	8439	2216
792	8449	2205
793	8460	2195
794	8469	2184
795	8480	2173
796	8489	2162
797	8499	2151
798	8509	2140
799	8519	2129
800	8530	2119
801	8540	2108
802	8550	2097
803	8561	2087
804	8572	2076
805	8582	2065
806	8592	2054
807	8601	2043
808	8611	2033
809	8620	2022
810	8631	2011
811	8642	2000
812	8653	1990
813	8662	1979
814	8673	1968
815	8683	1958
816	8692	1947
817	8702	1936
818	8711	1925
819	8722	1914
820	8732	1903
821	8741	1892
822	8751	1882
823	8760	1871
824	8770	1860
825	8780	1849
826	8790	1838
827	8799	1827
828	8808	1816
829	8820	1806
830	8831	1796
831	8842	1785
832	8852	1774
833	8862	1763
834	8871	1753
835	8880	1742
836	8892	1731
837	8902	1720
838	8911	1710
839	8922	1699
840	8931	1688
841	8942	1678
842	8952	1667
843	8961	1656
844	8971	1645
845	8982	1635
846	8991	1624
847	9002	1613
848	9011	1602
849	9022	1592
850	9031	1581
851	9043	1570
852	9053	1560
853	9064	1549
854	9074	1539
855	9086	1528
856	9096	1517
857	9106	1507
858	9116	1496
859	9125	1485
860	9135	1474
861	9145	1464
862	9154	1453
863	9165	1442
864	9174	1431
865	9185	1421
866	9194	1410
867	9205	1399
868	9215	1389
869	9227	1378
870	9238	1368
871	9248	1357
872	9257	1346
873	9268	1336
874	9278	1325
875	9289	1314
876	9299	1304
877	9310	1293
878	9323	1283
879	9334	1272
880	9345	1262
881	9355	1251
882	9365	1241
883	9375	1230
884	9385	1219
885	9394	1208
886	9405	1198
887	9415	1187
888	9426	1177
889	9436	1166
890	9445	1155
891	9454	1144
892	9463	1133
893	9472	1123
894	9482	1112
895	9491	1101
896	9501	1090
897	9512	1080
898	9523	1069
899	9533	1059
900	9543	1048
901	9553	1037
902	9565	1027
903	9574	1016
904	9583	1005
905	9594	995
906	9605	984
907	9615	974
908	9626	963
909	9636	953
910	9646	942
911	9656	931
912	9666	921
913	9675	910
914	9685	899
915	9695	889
916	9707	878
917	9717	868
918	9727	857
919	9737	846
920	9747	836
921	9757	825
922	9766	814
923	9776	804
924	9787	793
925	9798	783
926	9828	773
927	9841	763
928	9852	753
929	9863	742
930	9873	731
931	9882	721
932	9892	710
933	9902	699
934	9912	689
935	9922	678
936	9931	667
937	9941	657
938	9950	646
939	9960	635
940	9971	625
941	9983	614
942	9993	604
943	10005	593
944	10016	582
945	10026	572
946	10037	561
947	10048	551
948	10057	540
949	10068	529
950	10079	519
951	10088	508
952	10100	498
953	10111	487
954	10121	476
955	10132	466
956	10143	455
957	10153	445
958	10164	434
959	10176	424
960	10187	413
961	10198	402
962	10209	392
963	10219	381
964	10229	371
965	10240	360
966	10250	349
967	10261	339
968	10271	328
969	10282	318
970	10292	307
971	10302	296
972	10312	286
973	10321	275
974	10331	264
975	10344	254
976	10354	243
977	10365	233
978	10377	222
979	10388	212
980	10400	201
981	10412	190
982	10422	180
983	10432	169
984	10441	159
985	10451	148
986	10462	137
987	10471	127
988	10481	116
989	10492	105
990	10502	95
991	10512	84
992	10521	74
993	10531	63
994	10541	52
995	10551	42
996	10561	31
997	10571	21
998	10582	10
999	10593	0
