iter	Logloss
0	0.5431285172
1	0.4471221504
2	0.3874314842
3	0.3514443092
4	0.3248931999
5	0.3064109917
6	0.2946559105
7	0.285464386
8	0.2776951981
9	0.2719869881
10	0.2660434055
11	0.2623930054
12	0.2583359737
13	0.2547394371
14	0.2524963455
15	0.250233284
16	0.2486037674
17	0.2471898937
18	0.2455193615
19	0.2446683159
20	0.2436816387
21	0.2427173195
22	0.241944603
23	0.2413393974
24	0.2407740803
25	0.2402314396
26	0.2394721203
27	0.2391024246
28	0.2387478561
29	0.2382839508
30	0.2380224819
31	0.2378035183
32	0.2375538692
33	0.237298893
34	0.2370034599
35	0.2367587585
36	0.236668911
37	0.2363686905
38	0.2360454693
39	0.2357938652
40	0.2356681328
41	0.2356321182
42	0.2355731678
43	0.2355540905
44	0.2354667358
45	0.235382494
46	0.2353248043
47	0.2351841202
48	0.2351743774
49	0.2349750519
50	0.2349676991
51	0.2348868732
52	0.2347788086
53	0.2347322845
54	0.2346318321
55	0.234541111
56	0.234499794
57	0.2344028625
58	0.234315567
59	0.2342261734
60	0.2341717205
61	0.2340687141
62	0.2340058384
63	0.2339475231
64	0.2339039955
65	0.2338885174
66	0.2338473797
67	0.2338235359
68	0.2337724247
69	0.233737442
70	0.2337304516
71	0.2337148991
72	0.2336909065
73	0.2336172047
74	0.2336149216
75	0.2336074142
76	0.2335717621
77	0.2335578899
78	0.2335519505
79	0.2335349808
80	0.2334836407
81	0.23345965
82	0.2334355755
83	0.2334269218
84	0.2334225044
85	0.2333975468
86	0.2333408585
87	0.2333264847
88	0.2332935581
89	0.2332822762
90	0.2332700596
91	0.2332700863
92	0.23322892
93	0.2332272034
94	0.2331807575
95	0.233154026
96	0.2331458511
97	0.233121233
98	0.2331009121
99	0.2330863075
100	0.2330555344
101	0.2330369225
102	0.2330077839
103	0.232974659
104	0.2329587593
105	0.2329483528
106	0.2329467278
107	0.2329467354
108	0.2329228802
109	0.2329231396
110	0.2329225292
111	0.2329012108
112	0.2328720398
113	0.2328446865
114	0.2328262329
115	0.2328007908
116	0.2327806454
117	0.2327653065
118	0.2327403755
119	0.2327168865
120	0.2326930046
121	0.23267976
122	0.2326679745
123	0.2326573887
124	0.2326466732
125	0.2326312675
126	0.2326162109
127	0.2326056709
128	0.2325939064
129	0.2325770512
130	0.2325620022
131	0.2325443821
132	0.232529007
133	0.2325129261
134	0.2324965992
135	0.232480648
136	0.2324701157
137	0.2324603138
138	0.2324478626
139	0.2324392204
140	0.232430891
141	0.2324273148
142	0.2324273148
143	0.2324259586
144	0.2324185276
145	0.2324122543
146	0.2324113255
147	0.2324066944
148	0.2324065132
149	0.2324063339
150	0.2323969193
151	0.2323888741
152	0.2323888741
153	0.2323834629
154	0.2323751163
155	0.2323623524
156	0.2323541584
157	0.2323457088
158	0.2323455067
159	0.2323453579
160	0.2323458786
161	0.2323459873
162	0.2323457623
163	0.2323459244
164	0.232344696
165	0.2323443699
166	0.2323443489
167	0.2323440418
168	0.2323415432
169	0.2323418198
170	0.2323425159
171	0.2323420715
172	0.2323415871
173	0.2323416271
174	0.2323416271
175	0.2323416271
176	0.2323416271
177	0.2323416271
178	0.2323416271
179	0.2323410568
180	0.2323410625
181	0.2323410625
182	0.2323410625
183	0.2323410625
184	0.2323410625
185	0.2323410625
186	0.2323410625
187	0.2323410625
188	0.2323410625
189	0.2323410625
190	0.2323410625
191	0.232339468
192	0.2323345547
193	0.2323292274
194	0.2323252506
195	0.2323190289
196	0.2323182888
197	0.2323187733
198	0.2323179684
199	0.2323181286
200	0.2323180046
201	0.2323175278
202	0.2323178406
203	0.2323172073
204	0.2323182583
205	0.2323177586
206	0.232317297
207	0.2323172321
208	0.2323173161
209	0.2323169537
210	0.2323157597
211	0.2323147297
212	0.2323139343
213	0.2323139877
214	0.2323140469
215	0.2323144073
216	0.2323141994
217	0.2323148308
218	0.2323152027
219	0.2323149166
220	0.2323146763
221	0.2323135967
222	0.2323058033
223	0.2323005962
224	0.2322998371
225	0.2322998371
226	0.2323005028
227	0.232300602
228	0.232294939
229	0.232294939
230	0.232294939
231	0.232294939
232	0.232294939
233	0.232294939
234	0.232294939
235	0.232294939
236	0.232294939
237	0.232294939
238	0.232294939
239	0.232294939
240	0.232294939
241	0.232294939
242	0.232294939
243	0.232294939
244	0.232294939
245	0.232294939
246	0.232294939
247	0.232294939
248	0.232294939
249	0.232294939
250	0.232294939
251	0.232294939
252	0.232294939
253	0.232294939
254	0.232294939
255	0.232294939
256	0.232294939
257	0.232294939
258	0.232294939
259	0.232294939
260	0.232294939
261	0.232294939
262	0.232294939
263	0.232294939
264	0.232294939
265	0.232294939
266	0.232294939
267	0.232294939
268	0.232294939
269	0.232294939
270	0.232294939
271	0.232294939
272	0.232294939
273	0.232294939
274	0.232294939
275	0.232294939
276	0.232294939
277	0.232294939
278	0.232294939
279	0.232294939
280	0.232294939
281	0.232294939
282	0.232294939
283	0.232294939
284	0.232294939
285	0.232294939
286	0.232294939
287	0.232294939
288	0.232294939
289	0.232294939
290	0.232294939
291	0.232294939
292	0.232294939
293	0.232294939
294	0.232294939
295	0.232294939
296	0.232294939
297	0.232294939
298	0.232294939
299	0.232294939
300	0.232294939
301	0.232294939
302	0.232294939
303	0.232294939
304	0.232294939
305	0.232294939
306	0.232294939
307	0.232294939
308	0.232294939
309	0.232294939
310	0.232294939
311	0.232294939
312	0.232294939
313	0.232294939
314	0.232294939
315	0.232294939
316	0.232294939
317	0.232294939
318	0.232294939
319	0.232294939
320	0.232294939
321	0.232294939
322	0.232294939
323	0.232294939
324	0.232294939
325	0.232294939
326	0.232294939
327	0.232294939
328	0.232294939
329	0.232294939
330	0.232294939
331	0.232294939
332	0.232294939
333	0.232294939
334	0.232294939
335	0.232294939
336	0.232294939
337	0.232294939
338	0.232294939
339	0.232294939
