iter	Passed	Remaining
408	4484	6479
409	4494	6467
410	4505	6456
411	4515	6444
412	4525	6432
413	4536	6420
414	4546	6408
415	4557	6397
416	4567	6385
417	4578	6374
418	4588	6362
419	4598	6350
420	4610	6340
421	4620	6328
422	4630	6316
423	4641	6305
424	4652	6293
425	4662	6281
426	4674	6273
427	4686	6263
428	4697	6251
429	4707	6240
430	4718	6228
431	4728	6217
432	4739	6205
433	4751	6196
434	4762	6186
435	4773	6174
436	4783	6162
437	4793	6150
438	4804	6139
439	4815	6129
440	4825	6116
441	4835	6104
442	4845	6092
443	4855	6080
444	4865	6068
445	4875	6056
446	4886	6044
447	4896	6032
448	4906	6020
449	4916	6009
450	4926	5997
451	4937	5985
452	4947	5974
453	4958	5963
454	4969	5952
455	4979	5940
456	4989	5928
457	4999	5916
458	5011	5906
459	5021	5894
460	5030	5881
461	5040	5869
462	5051	5858
463	5062	5848
464	5073	5837
465	5084	5825
466	5094	5814
467	5105	5803
468	5116	5792
469	5127	5781
470	5138	5770
471	5149	5760
472	5160	5749
473	5170	5738
474	5181	5726
475	5191	5715
476	5203	5705
477	5214	5694
478	5224	5682
479	5234	5671
480	5245	5659
481	5256	5649
482	5266	5637
483	5277	5625
484	5287	5614
485	5297	5603
486	5308	5591
487	5319	5580
488	5329	5569
489	5340	5558
490	5350	5546
491	5361	5535
492	5371	5524
493	5382	5513
494	5393	5502
495	5403	5490
496	5413	5478
497	5423	5467
498	5433	5455
499	5442	5442
500	5453	5431
501	5463	5420
502	5474	5409
503	5485	5398
504	5497	5388
505	5508	5377
506	5518	5366
507	5529	5355
508	5539	5343
509	5550	5332
510	5562	5322
511	5573	5312
512	5583	5300
513	5593	5288
514	5603	5277
515	5614	5266
516	5624	5254
517	5634	5242
518	5644	5231
519	5655	5220
520	5665	5208
521	5675	5196
522	5685	5185
523	5695	5173
524	5705	5162
525	5716	5150
526	5726	5139
527	5737	5128
528	5747	5117
529	5758	5106
530	5769	5095
531	5779	5084
532	5788	5071
533	5799	5060
534	5810	5050
535	5821	5039
536	5834	5030
537	5844	5019
538	5854	5007
539	5865	4996
540	5875	4985
541	5886	4973
542	5896	4962
543	5907	4951
544	5917	4940
545	5928	4929
546	5939	4918
547	5949	4907
548	5959	4896
549	5971	4885
550	5981	4874
551	5991	4862
552	6001	4851
553	6011	4839
554	6021	4828
555	6032	4816
556	6042	4805
557	6052	4794
558	6063	4783
559	6075	4773
560	6085	4762
561	6096	4751
562	6105	4739
563	6116	4728
564	6126	4717
565	6137	4706
566	6148	4695
567	6158	4683
568	6169	4673
569	6180	4662
570	6190	4650
571	6202	4640
572	6212	4629
573	6223	4619
574	6234	4608
575	6244	4596
576	6254	4585
577	6264	4573
578	6278	4564
579	6288	4553
580	6298	4542
581	6309	4531
582	6320	4520
583	6330	4509
584	6340	4497
585	6350	4486
586	6362	4476
587	6371	4464
588	6381	4452
589	6391	4441
590	6402	4430
591	6412	4419
592	6422	4408
593	6432	4396
594	6443	4385
595	6453	4374
596	6465	4364
597	6476	4353
598	6486	4342
599	6497	4331
600	6507	4320
601	6518	4309
602	6528	4298
603	6538	4287
604	6549	4276
605	6559	4265
606	6569	4253
607	6580	4242
608	6591	4231
609	6602	4221
610	6612	4210
611	6623	4199
612	6634	4188
613	6645	4177
614	6655	4166
615	6666	4155
616	6676	4144
617	6686	4133
618	6697	4122
619	6707	4111
620	6717	4099
621	6727	4088
622	6738	4077
623	6747	4065
624	6756	4054
625	6766	4042
626	6776	4031
627	6786	4020
628	6796	4008
629	6806	3997
630	6816	3986
631	6825	3974
632	6836	3963
633	6846	3952
634	6856	3941
635	6867	3930
636	6877	3918
637	6887	3907
638	6897	3896
639	6907	3885
640	6918	3874
641	6928	3863
642	6938	3852
643	6948	3840
644	6958	3829
645	6968	3818
646	6978	3807
647	6988	3796
648	6998	3785
649	7008	3773
650	7019	3762
651	7030	3752
652	7040	3741
653	7051	3730
654	7062	3719
655	7073	3709
656	7083	3698
657	7094	3687
658	7104	3676
659	7115	3665
660	7127	3655
661	7137	3643
662	7147	3633
663	7158	3622
664	7169	3611
665	7179	3600
666	7189	3589
667	7199	3577
668	7209	3566
669	7219	3556
670	7230	3545
671	7240	3534
672	7251	3523
673	7261	3512
674	7272	3501
675	7282	3490
676	7293	3479
677	7304	3468
678	7314	3458
679	7325	3447
680	7334	3435
681	7344	3424
682	7355	3413
683	7365	3402
684	7375	3391
685	7386	3380
686	7396	3370
687	7408	3359
688	7420	3349
689	7431	3338
690	7442	3328
691	7453	3317
692	7463	3306
693	7474	3295
694	7485	3284
695	7495	3273
696	7506	3263
697	7519	3253
698	7530	3242
699	7541	3232
700	7550	3220
701	7563	3210
702	7575	3200
703	7585	3189
704	7596	3178
705	7606	3167
706	7617	3157
707	7629	3146
708	7639	3135
709	7650	3124
710	7660	3113
711	7670	3102
712	7681	3091
713	7692	3081
714	7702	3070
715	7713	3059
716	7724	3048
717	7734	3037
718	7743	3026
719	7754	3015
720	7764	3004
721	7774	2993
722	7784	2982
723	7795	2971
724	7806	2961
725	7817	2950
726	7828	2939
727	7839	2928
728	7849	2917
729	7859	2906
730	7870	2896
731	7880	2885
732	7891	2874
733	7901	2863
734	7911	2852
735	7923	2841
736	7933	2831
737	7943	2819
738	7953	2809
739	7963	2798
740	7974	2787
741	7984	2776
742	7995	2765
743	8005	2754
744	8015	2743
745	8026	2732
746	8036	2721
747	8046	2710
748	8057	2700
749	8067	2689
750	8078	2678
751	8089	2667
752	8100	2657
753	8111	2646
754	8120	2635
755	8130	2624
756	8142	2613
757	8152	2602
758	8162	2591
759	8173	2581
760	8184	2570
761	8194	2559
762	8204	2548
763	8214	2537
764	8226	2527
765	8237	2516
766	8248	2505
767	8258	2494
768	8269	2483
769	8279	2473
770	8290	2462
771	8301	2451
772	8311	2440
773	8320	2429
774	8331	2418
775	8341	2407
776	8352	2397
777	8362	2386
778	8373	2375
779	8383	2364
780	8395	2354
781	8406	2343
782	8417	2332
783	8427	2321
784	8438	2311
785	8448	2300
786	8458	2289
787	8469	2278
788	8481	2268
789	8492	2257
790	8502	2246
791	8512	2235
792	8521	2224
793	8531	2213
794	8542	2202
795	8552	2191
796	8561	2180
797	8572	2169
798	8583	2159
799	8593	2148
800	8604	2137
801	8615	2127
802	8626	2116
803	8637	2105
804	8648	2094
805	8659	2084
806	8669	2073
807	8680	2062
808	8690	2051
809	8700	2040
810	8710	2030
811	8722	2019
812	8732	2008
813	8743	1997
814	8753	1986
815	8764	1976
816	8774	1965
817	8785	1954
818	8795	1943
819	8805	1933
820	8816	1922
821	8826	1911
822	8837	1900
823	8847	1889
824	8858	1878
825	8868	1868
826	8878	1857
827	8888	1846
828	8899	1835
829	8909	1824
830	8920	1814
831	8933	1803
832	8943	1792
833	8954	1782
834	8965	1771
835	8976	1760
836	8986	1750
837	8997	1739
838	9007	1728
839	9019	1717
840	9030	1707
841	9041	1696
842	9052	1685
843	9063	1675
844	9074	1664
845	9084	1653
846	9095	1643
847	9105	1632
848	9115	1621
849	9126	1610
850	9136	1599
851	9146	1588
852	9156	1577
853	9166	1567
854	9176	1556
855	9187	1545
856	9198	1534
857	9208	1524
858	9219	1513
859	9230	1502
860	9240	1491
861	9251	1481
862	9261	1470
863	9271	1459
864	9282	1448
865	9292	1437
866	9303	1427
867	9313	1416
868	9324	1405
869	9335	1394
870	9345	1384
