iter	Logloss
0	0.4213284302
1	0.3956390991
2	0.3792601013
3	0.3603486633
4	0.3578575439
5	0.3500030823
6	0.3404140625
7	0.3391168823
8	0.3383386536
9	0.3381202087
10	0.3333495789
11	0.331576355
12	0.3297539673
13	0.3284148254
14	0.3256855774
15	0.3237842712
16	0.323368042
17	0.3226630859
18	0.3224118652
19	0.3222836914
20	0.3217409668
21	0.3208751526
22	0.3205651245
23	0.3201171875
24	0.3196953735
25	0.319530426
26	0.3191342163
27	0.3189552002
28	0.3189165649
29	0.318562439
30	0.318225647
31	0.3181455383
32	0.3179706421
33	0.3178660278
34	0.3178001709
35	0.3176832886
36	0.3176647949
37	0.3176460266
38	0.3175031738
39	0.3174433289
40	0.3173531189
41	0.3172915955
42	0.3172420654
43	0.3171786194
44	0.3171500854
45	0.3170663757
46	0.3170320129
47	0.316971344
48	0.3169449463
49	0.3169247131
50	0.3168979187
51	0.3168901367
52	0.3168575439
53	0.3168569031
54	0.3168289185
55	0.316807251
56	0.3168066406
57	0.3167850342
58	0.3167561646
59	0.3167489014
60	0.3167481689
61	0.3167463684
62	0.3167463379
63	0.3167267456
64	0.3167153931
65	0.3167030029
66	0.3167020874
67	0.3166833496
68	0.3166830139
69	0.3166828613
70	0.3166762085
71	0.3166758118
72	0.3166763
73	0.3166741638
74	0.3166665955
75	0.3166604614
76	0.3166604309
77	0.316659668
78	0.316658844
79	0.3166595459
80	0.3166595764
81	0.3166600342
82	0.3166464233
83	0.3166430664
84	0.3166391602
85	0.3166385498
86	0.3166367798
87	0.3166369629
88	0.316614502
89	0.3166101379
90	0.3166083984
91	0.316608429
92	0.316608551
93	0.3165996399
94	0.3165951538
95	0.3165948181
96	0.3165948792
97	0.3165943604
98	0.3165927124
99	0.3165924683
100	0.3165925293
101	0.3165924377
102	0.3165929871
103	0.3165924072
104	0.3165891724
105	0.3165891724
106	0.3165891724
107	0.3165891724
108	0.3165891724
109	0.3165891724
110	0.3165891724
111	0.3165891724
112	0.3165891724
113	0.3165891724
114	0.3165891724
115	0.3165891724
116	0.3165891724
117	0.3165891724
118	0.3165891724
119	0.3165891724
120	0.3165891724
121	0.3165891724
122	0.3165891724
123	0.3165891724
124	0.3165891724
125	0.3165891724
126	0.3165898743
127	0.3165893555
128	0.3165887451
129	0.3165889282
130	0.3165887451
131	0.3165881348
132	0.3165894165
133	0.3165870056
134	0.3165769653
135	0.3165753784
136	0.3165742798
137	0.3165735474
138	0.3165736389
139	0.3165741577
140	0.3165734253
141	0.316572937
142	0.3165728149
143	0.3165727539
144	0.3165731812
145	0.3165728149
146	0.3165728149
147	0.3165725098
148	0.3165718384
149	0.3165719604
150	0.3165718384
151	0.3165718384
152	0.3165722046
153	0.3165725098
154	0.3165715637
155	0.3165713806
156	0.3165713806
157	0.3165708618
158	0.3165709839
159	0.316571106
160	0.316571106
161	0.3165715942
162	0.3165716248
163	0.3165598755
164	0.3165264893
165	0.3165253296
166	0.3165254517
167	0.3165254517
168	0.3165109253
169	0.3165061035
170	0.3164982605
171	0.3164979858
172	0.3164981689
173	0.3164980164
174	0.3164981689
175	0.3164850769
176	0.3164763184
177	0.3164750977
178	0.3164752808
179	0.3164750061
180	0.3164749756
181	0.3164747925
182	0.3164746704
183	0.3164744263
184	0.3164746094
185	0.316474762
186	0.3164755249
187	0.3164690552
188	0.3164594727
189	0.3164599609
190	0.3164597473
191	0.3164595947
192	0.3164597778
193	0.3164598389
194	0.3164598694
195	0.316460022
196	0.316460144
197	0.3164600525
198	0.3164599915
199	0.316460083
200	0.3164607544
201	0.3164599609
202	0.3164588623
203	0.3164586487
204	0.3164584961
205	0.3164586182
206	0.3164588013
207	0.3164585571
208	0.3164585266
209	0.3164587402
210	0.3164587708
211	0.3164577637
212	0.3164572754
213	0.3164572449
214	0.3164572754
215	0.3164572449
216	0.3164562378
217	0.3164560242
218	0.3164559937
219	0.3164558716
220	0.3164562378
221	0.3164560547
222	0.3164562378
223	0.3164563599
224	0.3164569702
225	0.3164567871
226	0.3164568176
227	0.3164520569
228	0.3164520874
229	0.3164521179
230	0.3164519348
231	0.3164495544
232	0.3164489746
233	0.3164474792
234	0.3164479675
235	0.3164487305
236	0.3164488525
237	0.3164486389
238	0.3164489746
239	0.3164489746
240	0.316447937
241	0.3164477539
242	0.3164469604
243	0.316444519
244	0.3164428406
245	0.3164408875
